tid,date,type,price,amount
18372733,1735263054,buy,594983.55579823,0.00002882
18372734,1735263055,buy,594983.55579820,0.00018487
18372735,1735263066,buy,594925.68424926,0.00008153
18372736,1735263068,sell,594632.82000001,0.00004754
18372737,1735263069,buy,594925.68424918,0.00082791
18372738,1735263087,sell,594632.82000027,0.00004657
18372739,1735263087,buy,595233.70336717,0.00002520
18372740,1735263102,buy,595233.70336670,0.00049548
18372741,1735263123,buy,595151.67821287,0.00017509
18372742,1735263151,sell,594715.63273542,0.00011014
18372743,1735263155,buy,595125.32191648,0.00050056
18372744,1735263161,sell,594715.63273574,0.00016869
18372745,1735263162,buy,595125.32191626,0.00018483
18372746,1735263162,sell,594715.63273578,0.00000540
18372747,1735263185,buy,595125.32191558,0.00004075
18372748,1735263194,buy,595125.32191529,0.00017510
18372749,1735263220,sell,594715.63273733,0.00016870
18372750,1735263222,sell,594715.63273737,0.00005357
18372751,1735263227,sell,594715.63273751,0.00018354
18372752,1735263242,buy,595278.67186825,0.00000244
18372753,1735263244,buy,595278.67186818,0.00016514
18372754,1735263253,buy,595674.99000000,0.00033007
18372755,1735263253,buy,595674.99000000,0.08393839
18372756,1735263255,sell,594746.10584614,0.00008114
18372757,1735263256,sell,594746.10584617,0.00015700
18372758,1735263259,buy,595278.67186769,0.00400427
18372759,1735263276,buy,595256.40392538,0.00001259
18372760,1735263284,sell,594851.23919185,0.00018358
18372761,1735263294,buy,595179.42372195,0.00008149
18372762,1735263306,buy,595177.24297421,0.00100810
18372763,1735263314,sell,594761.72247605,0.00003301
18372764,1735263318,buy,594987.62535340,0.00003508
18372765,1735263331,sell,594755.04546201,0.00004657
18372766,1735263332,sell,594755.04546203,0.00004657
18372767,1735263336,sell,594755.77937199,0.00003928
18372768,1735263341,buy,595262.10759239,0.00017176
18372769,1735263349,buy,595262.10759213,0.00017506
18372770,1735263371,buy,595262.10759183,0.00003780
18372771,1735263413,buy,595443.69655442,0.00038799
18372772,1735263424,sell,594857.77127870,0.00010658
18372773,1735263425,buy,595367.56280890,0.00017338
18372774,1735263450,sell,595002.01835449,0.01710000
18372775,1735263450,sell,594923.81240000,0.01456542
18372776,1735263451,buy,595525.29883980,0.00003644
18372777,1735263456,sell,594923.81242007,0.00134220
18372778,1735263463,buy,595580.16934714,0.00003746
18372779,1735263466,buy,595979.99999998,0.00017485
18372780,1735263474,sell,595260.77786128,0.00006697
18372781,1735263479,sell,595294.94436172,0.00029902
18372782,1735263504,sell,595407.97399193,0.00004657
18372783,1735263512,sell,595766.98042122,0.00245601
18372784,1735263513,buy,595980.00000000,0.00003255
18372785,1735263522,sell,595533.05600913,0.00016704
18372786,1735263522,sell,595533.05600914,0.00169647
18372787,1735263536,sell,595718.07624546,0.00009507
18372788,1735263537,buy,595979.99994999,0.00001081
18372789,1735263537,buy,595980.00000000,0.00016569
18372790,1735263540,sell,595294.94458003,0.00011134
18372791,1735263548,buy,595980.00000000,0.00016495
18372792,1735263549,sell,595802.32285630,0.00151876
18372793,1735263561,buy,595968.03437508,0.00016495
18372794,1735263574,sell,595529.03056098,0.00000253
18372795,1735263574,buy,595960.47796107,0.00017786
18372796,1735263575,buy,595960.47796107,0.00000507
18372797,1735263576,buy,595960.47796107,0.00082648
18372798,1735263580,buy,595960.47796107,0.00000651
18372799,1735263586,sell,595529.03056137,0.00017926
18372800,1735263599,sell,595529.03056177,0.00009309
18372801,1735263606,buy,595960.47796099,0.00001627
18372802,1735263614,sell,595604.30576950,0.00017662
18372803,1735263631,buy,595980.00000000,0.05337037
18372804,1735263673,buy,595980.00000000,0.00017785
18372805,1735263691,sell,595860.84057001,0.00016866
18372806,1735263708,buy,595980.00000000,0.00056982
18372807,1735263710,sell,595979.99999999,0.00004657
18372808,1735263718,buy,595980.00000000,0.01259000
18372809,1735263722,buy,595980.00000000,0.00000493
18372810,1735263722,buy,596000.00000000,0.00407655
18372811,1735263722,buy,596000.00000000,0.00700000
18372812,1735263722,buy,596504.25974989,0.00000406
18372813,1735263727,buy,596648.66545603,0.00016477
18372814,1735263728,sell,596076.91989872,0.00017661
18372815,1735263731,buy,596643.01579209,0.01690000
18372816,1735263731,buy,597647.99989997,0.00158292
18372817,1735263731,buy,597740.00000000,0.00001592
18372818,1735263740,sell,596076.92009878,0.00024349
18372819,1735263745,sell,596076.92020002,0.00045810
18372820,1735263748,sell,596076.92030003,0.00001520
18372821,1735263750,buy,596439.52723785,0.00166001
18372822,1735263784,sell,596391.11766003,0.00008516
18372823,1735263801,buy,596627.71944659,0.00024965
18372824,1735263819,buy,596517.46469097,0.00728235
18372825,1735263821,buy,596517.46469091,0.00017304
18372826,1735263829,buy,596190.88607407,0.00017479
18372827,1735263844,buy,596277.46580146,0.00004392
18372828,1735263850,buy,596422.57306816,0.00166006
18372829,1735263856,sell,595986.34015708,0.00016671
18372830,1735263858,buy,596580.87530185,0.01690000
18372831,1735263858,buy,596580.87530186,0.00640279
18372832,1735263868,buy,596579.63122464,0.00024718
18372833,1735263898,sell,596124.51314011,0.00000664
18372834,1735263923,buy,596599.22490432,0.01710000
18372835,1735263923,buy,597274.99989998,0.00785760
18372836,1735263925,buy,596599.22490428,0.00385352
18372837,1735263933,buy,596759.34419329,0.00002438
18372838,1735263935,sell,596274.80391026,0.00041236
18372839,1735263950,buy,596883.45241022,0.00023706
18372840,1735263959,buy,596883.45240998,0.00008126
18372841,1735263960,sell,596530.99322355,0.00169386
18372842,1735263971,buy,596883.45240961,0.00016470
18372843,1735264002,buy,596523.63229888,0.00004878
18372844,1735264008,sell,596000.02000002,0.00005906
18372845,1735264010,sell,596126.97470772,0.00017005
18372846,1735264013,sell,596126.97475772,0.00004948
18372847,1735264024,buy,596189.67069099,0.00017779
18372848,1735264030,buy,596006.11446986,0.01070000
18372849,1735264032,sell,596000.00000000,0.00848522
18372850,1735264032,sell,595747.01000002,0.00221478
18372851,1735264041,buy,595971.78588232,0.00001627
18372852,1735264047,sell,595577.14940810,0.00017655
18372853,1735264062,buy,596649.99989996,0.00057671
18372854,1735264092,buy,596034.75148676,0.00001627
18372855,1735264094,buy,596006.11000001,0.00000813
18372856,1735264112,buy,596006.11000001,0.00049484
18372857,1735264140,sell,596006.11000000,0.00004657
18372858,1735264160,sell,596006.11000000,0.00016840
18372859,1735264175,sell,596006.11000000,0.00003670
18372860,1735264175,sell,595529.03011003,0.00011988
18372861,1735264181,buy,596006.10999986,0.00049484
18372862,1735264193,sell,595592.59472390,0.00002675
18372863,1735264203,buy,596006.10999916,0.00003255
18372864,1735264208,sell,595687.32982720,0.00002993
18372865,1735264216,buy,596149.56522872,0.00082621
18372866,1735264243,buy,596149.56522830,0.00017480
18372867,1735264263,buy,595989.16955339,0.00090000
18372868,1735264263,buy,596587.00000000,0.00125839
